ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600654.SH,1991-01-22,399.7,399.7,399.7,399.7,401.7,-2.0,-0.5,4.0,1.0,2023-08-01
600652.SH,1991-01-22,218.5,218.5,218.5,218.5,217.4,1.1,0.51,42.0,37.0,2023-08-01
000004.SZ,1991-01-22,15.42,15.42,15.42,15.42,15.38,0.04,0.26,2.0,15.0,2023-08-01
000005.SZ,1991-01-22,16.71,16.71,16.71,16.71,16.79,-0.08,-0.48,4.0,8.0,2023-08-01
600653.SH,1991-01-23,339.6,339.6,339.6,339.6,337.9,1.7,0.5,4.0,0.004,2023-08-01
600656.SH,1991-01-23,3.26,3.26,3.26,3.26,3.24,0.02,0.62,13.0,4.0,2023-08-01
600651.SH,1991-01-23,411.4,411.4,411.4,411.4,413.5,-2.1,-0.51,13.0,0.026,2023-08-01
600602.SH,1991-01-23,520.5,520.5,520.5,520.5,523.1,-2.6,-0.5,871.0,0.871,2023-08-01
600654.SH,1991-01-23,397.7,397.7,397.7,397.7,399.7,-2.0,-0.5,164.0,65.0,2023-08-01
600601.SH,1991-01-23,253.0,253.0,253.0,253.0,254.25,-1.25,-0.49,30.0,30.0,2023-08-01
000004.SZ,1991-01-23,15.34,15.34,15.34,15.34,15.42,-0.08,-0.52,3.0,23.0,2023-08-01
000005.SZ,1991-01-23,16.63,16.63,16.63,16.63,16.71,-0.08,-0.48,10.0,83.0,2023-08-01
600653.SH,1991-01-24,341.3,341.3,341.3,341.3,339.6,1.7,0.5,130.0,0.13,2023-08-01
600656.SH,1991-01-24,3.28,3.28,3.28,3.28,3.26,0.02,0.61,96.0,31.0,2023-08-01
600651.SH,1991-01-24,409.3,409.3,409.3,409.3,411.4,-2.1,-0.51,2.0,0.004,2023-08-01
600602.SH,1991-01-24,517.9,517.9,517.9,517.9,520.5,-2.6,-0.5,1471.0,1.471,2023-08-01
600654.SH,1991-01-24,395.7,395.7,395.7,395.7,397.7,-2.0,-0.5,136.0,53.0,2023-08-01
600601.SH,1991-01-24,251.7,251.7,251.7,251.7,253.0,-1.3,-0.51,22.0,22.0,2023-08-01
000005.SZ,1991-01-24,16.55,16.55,16.55,16.55,16.63,-0.08,-0.48,3.0,25.0,2023-08-01
600653.SH,1991-01-25,343.0,343.0,343.0,343.0,341.3,1.7,0.5,110.0,0.11,2023-08-01
600656.SH,1991-01-25,3.29,3.29,3.29,3.29,3.28,0.01,0.3,32.0,10.0,2023-08-01
600602.SH,1991-01-25,515.3,515.3,515.3,515.3,517.9,-2.6,-0.5,3015.0,3.015,2023-08-01
600654.SH,1991-01-25,393.7,393.7,393.7,393.7,395.7,-2.0,-0.51,282.0,111.0,2023-08-01
600601.SH,1991-01-25,250.4,250.4,250.4,250.4,251.7,-1.3,-0.52,8.0,8.0,2023-08-01
600653.SH,1991-01-28,344.7,344.7,344.7,344.7,343.0,1.7,0.5,150.0,0.15,2023-08-01
600602.SH,1991-01-28,512.7,512.7,512.7,512.7,515.3,-2.6,-0.5,4689.0,4.689,2023-08-01
600654.SH,1991-01-28,391.7,395.7,391.7,391.8,393.7,-1.9,-0.48,260.0,101.0,2023-08-01
600601.SH,1991-01-28,249.1,249.1,249.1,249.1,250.4,-1.3,-0.52,8.0,7.0,2023-08-01
000002.SZ,1991-01-29,14.58,14.58,14.58,14.58,1.0,13.58,1358.0,3.0,22.0,2023-08-01
600653.SH,1991-01-29,346.4,346.4,346.4,346.4,344.7,1.7,0.49,115.0,0.115,2023-08-01
600651.SH,1991-01-29,405.3,405.3,405.3,405.3,407.3,-2.0,-0.49,2.0,0.005,2023-08-01
600602.SH,1991-01-29,510.1,510.1,510.1,510.1,512.7,-2.6,-0.51,1150.0,1.15,2023-08-01
600654.SH,1991-01-29,393.8,393.8,393.8,393.8,391.8,2.0,0.51,64.0,25.0,2023-08-01
600601.SH,1991-01-29,247.9,247.9,247.9,247.9,249.1,-1.2,-0.48,56.0,55.0,2023-08-01
000005.SZ,1991-01-29,16.23,16.23,16.23,16.23,16.39,-0.16,-0.98,7.0,57.0,2023-08-01
000002.SZ,1991-01-30,14.51,14.51,14.51,14.51,14.58,-0.07,-0.48,17.0,123.0,2023-08-01
